10, 150000, 3
3, 0, 3
33, 400000, 0
32, 100000, 3
3, 0, 3
17, 50000, 1
18, 200000, 4
32, 100000, 1
13, 300000, 0
41, 250000, 4
33, 400000, 3
25, 350000, 1
32, 100000, 1
18, 200000, 10
25, 350000, 0
32, 100000, 2
41, 250000, 3
25, 350000, 0
41, 250000, 1
32, 100000, 3
36, 550000, 6
18, 200000, 0
33, 400000, 2
32, 100000, 0
17, 50000, 2
25, 350000, 1
18, 200000, 1
3, 0, 0
17, 50000, 2
32, 100000, 0
17, 50000, 3
3, 0, 2
3, 0, 0
41, 250000, 3
3, 0, 0
25, 350000, 1
17, 50000, 10
32, 100000, 0
17, 50000, 1
3, 0, 0
41, 250000, 1
32, 100000, 0
41, 250000, 3
18, 200000, 1
18, 200000, 0
18, 200000, 6
18, 200000, 2
18, 200000, 0
17, 50000, 0
17, 50000, 4
0, 450000, 2
18, 200000, 12
33, 400000, 4
13, 300000, 0
33, 400000, 3
33, 400000, 2
3, 0, 2
17, 50000, 4
18, 200000, 1
18, 200000, 5
3, 0, 2
32, 100000, 1
17, 50000, 0
3, 0, 18
25, 350000, 2
18, 200000, 0
3, 0, 3
34, 400000, 177
18, 200000, 1
17, 50000, 2
18, 200000, 0
33, 400000, 1
33, 400000, 0
18, 200000, 1
23, 500000, 1
17, 50000, 1
25, 350000, 0
17, 50000, 3
17, 50000, 2
3, 0, 1
32, 100000, 4
25, 350000, 2
32, 100000, 5
17, 50000, 4
17, 50000, 1
25, 350000, 0
32, 100000, 1
13, 300000, 1
3, 0, 0
17, 50000, 5
13, 300000, 11
41, 250000, 1
3, 0, 0
25, 350000, 0
18, 200000, 13
18, 200000, 1
18, 200000, 1
18, 200000, 1
10, 150000, 4
33, 400000, 2
17, 50000, 2
17, 50000, 0
18, 200000, 0
3, 0, 2
8, 600000, 0
3, 0, 2
10, 150000, 0
3, 0, 0
17, 50000, 2
10, 150000, 1
41, 250000, 5
3, 0, 1
17, 50000, 1
17, 50000, 1
25, 350000, 0
3, 0, 3
3, 0, 1
18, 200000, 6
18, 200000, 1
17, 50000, 0
10, 150000, 0
13, 300000, 0
3, 0, 1
3, 0, 2
25, 350000, 1
41, 250000, 1
25, 350000, 1
10, 150000, 8
18, 200000, 0
10, 150000, 3
25, 350000, 1
3, 0, 3
32, 100000, 1
3, 0, 0
18, 200000, 2
18, 200000, 0
32, 100000, 3
18, 200000, 6
18, 200000, 1
17, 50000, 0
41, 250000, 1
18, 200000, 9
10, 150000, 17
3, 0, 2
25, 350000, 0
17, 50000, 1
18, 200000, 0
32, 100000, 0
17, 50000, 8
32, 100000, 1
18, 200000, 8
18, 200000, 1
32, 100000, 0
17, 50000, 0
41, 250000, 5
18, 200000, 0
25, 350000, 1
17, 50000, 1
17, 50000, 0
33, 400000, 0
41, 250000, 8
18, 200000, 3
18, 200000, 1
18, 200000, 1
3, 0, 0
32, 100000, 0
25, 350000, 2
10, 150000, 1
41, 250000, 2
18, 200000, 2
6, 600000, 5
3, 0, 0
23, 500000, 6
41, 250000, 5
10, 150000, 2
18, 200000, 2
3, 0, 0
18, 200000, 0
25, 350000, 3
32, 100000, 2
3, 0, 6
18, 200000, 3
3, 0, 2
18, 200000, 0
25, 350000, 1
32, 100000, 1
25, 350000, 4
41, 250000, 3
18, 200000, 0
32, 100000, 3
17, 50000, 11
18, 200000, 16
17, 50000, 0
41, 250000, 1
17, 50000, 1
13, 300000, 1
17, 50000, 2
18, 200000, 2
23, 500000, 1
18, 200000, 3
32, 100000, 3
3, 0, 1
17, 50000, 5
3, 0, 0
18, 200000, 0
10, 150000, 20
3, 0, 2
17, 50000, 0
7, 600000, 1
41, 250000, 1
10, 150000, 4
17, 50000, 1
